premise_en,premise_fr,premise_ru,hypothesis_en,hypothesis_fr,hypothesis_ru,label
"On the mainland , an invasion of even greater significance followed in 1580 , when Philip II of Spain proclaimed himself king of Portugal and marched his armies across the border .","Sur le continent , une invasion d' une importance encore plus grande a suivi en 1580 , lorsque Philippe II D' Espagne s' est proclamé roi du Portugal et a défilé ses armées à travers la frontière .","На материке вторжение в еще большее значение последовало в 1580 году , когда Филипп II Испании провозгласил себя королем Португалии и повел свои войска через границу .",Philip II of Spain invaded Portugal .,Philippe II D' Espagne envahit le Portugal .,Филипп II Испании вторгся в Португалию .,0
"This involves a morning or afternoon of theory and shallow-water work , giving you an opportunity to try out the basic techniques before committing yourself a full open-water course .","Cela implique un matin ou un après-midi de théorie et d' eau superficielle , vous donnant l' occasion d' essayer les techniques de base avant de vous engager dans un cours complet d' eau libre .","Это связано с утром или днем теории и поверхностно работы , что дает вам возможность попробовать основные методы перед тем , как совершить полный курс открытой воды .",You won 't get a chance to try out basic techniques with theory or anything .,Vous n' avez pas la chance d' essayer les techniques de base avec la théorie ou quoi que ce soit .,У вас не будет шанса попробовать базовые методы с теорией или что-то в этом роде .,2
Initiatives completed under Phase I of the Plan include the,Les initiatives menées dans le cadre de la phase i du plan sont notamment les suivantes :,"Инициативы , завершенные в рамках этапа i плана , включают в себя , в частности",There is no Phase 1 of the plan as it will all be conducted in one step .,Il n' y a pas de phase 1 du plan car elle sera menée en une seule étape .,"Не существует этапа 1 плана , поскольку он будет проводиться в одном шаге .",2
yeah well i 'm well i 'm definitely for it,Ouais ben je vais bien je suis définitivement pour ça,Да ну я в порядке я точно за это,I am certainly in agreement with it .,Je suis certainement d' accord avec elle .,"Я , безусловно , согласен с этим .",0
yeah yeah glad to see y 'all taken care of well the i think what changed everything and uh is uh y 'all were y 'all the only ones that make any money for TI here in the last two years,Ouais ouais content de voir y ' a tous pris soin de bien la je pense ce qui a tout changé et euh y ' a tous été y ' a tous les seuls qui font de l' argent pour ti ici au cours des deux dernières années,"Да , рад видеть , что вы хорошо обо мне заботятся , я думаю , что все изменилось и вы все были единственными , кто делает деньги за ти здесь за последние два года .","In the past few years , no one has made any money for TI .","Ces dernières années , personne n' a fait d' argent pour ti .",За последние несколько лет никто не делал денег для ти .,2
But what he means by what he shows is anybody 's guess .,"Mais ce qu' il veut dire par ce qu' il montre , c' est la supposition de n' importe qui .","Но то , что он имеет в виду , то , что он показывает , это кто -",His presentation was extremely clear .,Sa présentation était très claire .,Его выступление было предельно ясным .,2
you know and held over for trial,Vous savez et vous avez retenu pour le procès .,Ты знаешь и состоявшемся на суд .,Released and no trial .,Libéré et pas de procès .,Освобожден и без суда .,2
I tipped it upside down .,Je l' ai mis à l' envers .,Я сообщил его вверх ногами .,I turned it over .,Je l' ai retourné .,Я его перевернул .,0
"Continue along this road to reach the pretty coastal town of Molyvos ( also known by its ancient name , Mithymna ) , a popular spot for tourists .","Continuer le long de cette route pour atteindre la jolie ville côtière de molyvos ( également connue par son ancien nom , méthymne ) , un endroit populaire pour les touristes .","Продолжить вдоль этой дороги , чтобы добраться до прибрежного города Molyvos ( также известного своим древним именем , mithymna ) , популярным местом для туристов .","Molyvos is a run down town in the center of the region , not popular at all with tourists .","Molyvos est une ville située au centre de la région , pas populaire du tout avec les touristes .","Molyvos - это в город в центре региона , не популярный вообще с туристами .",2
"For a screening test , high sensitivity is the most desirable parameter .","Pour un test de dépistage , la haute sensibilité est le paramètre le plus souhaitable .",Для проверки на проверку наиболее желательным параметром является высокая чувствительность .,They wanted to have low sensitivity .,Ils voulaient avoir une faible sensibilité .,Они хотели иметь низкую чувствительность .,2
What involvement did other key players have in connection with these accountability failures ?,Quelle est la participation d' autres acteurs clés à ces échecs de responsabilité ?,Какое участие имеют другие ключевые игроки в связи с этими неудачами в плане подотчетности ?,Nobody was concerned about the failures .,Personne n' était préoccupé par les échecs .,Никто не был обеспокоен неудачами .,2
"In the violet shade of morning , Ca 'daan saw Adrin standing on the dunes in sword practice .","A l' ombre violette du matin , ca ' daan a vu adrin debout sur les dunes en pratique de l' épée .","В в тени утра , ca ' daan видел , как adrin стоял на в в меч .","Adrin was lost in the night as a swordsman chased after him that many knew as "" Ca 'daan "" .","Adrin fut perdu dans la nuit comme un sabreur poursuivi après lui que beaucoup savaient comme "" ca ' daan "" .","Adrin был потерян ночью , когда в погнался за ним , что многие знали как "" CA ' daan "" .",2
i bet even my cats could do that,Je parie que même mes chats pourraient faire ça .,"Могу поспорить , что даже мои кошки могут это сделать .",My cats could probably do that because they are brilliant .,Mes chats pourraient le faire parce qu' ils sont brillants .,"Мои кошки могли бы сделать это , потому что они блестящие .",1
"Southeast of Saint-Jean-de-Luz is Ascain , with a village square surrounded by enchanting 17th-century houses and a typical wooden-galleried church .","Le Sud-est de Saint-Jean-de-Luz est ascain , avec une place de village entourée de maisons charmantes du 17 ème siècle et d' une église typique en bois-Galleried .","К Юго-востоку от сен-Жан-де-лаз - ascain , с деревенской площадью в окружении очаровательной домов 17-го века и типичной деревянной церкви .",The church was built in the 20th century .,L' Église a été construite au 20 ème siècle .,Церковь была построена в 20 веке .,2
He distinctly said you were to repair the sky .,Il a clairement dit que tu devais réparer le ciel .,"Он ясно сказал , что ты должен починить небо .",He only muttered something about splitting the sky .,Il a seulement marmonné quelque chose à propos de la séparation du ciel .,"Он только что пробормотал что-то о том , как разделить небо .",2
"Lorenzo the Magnificent and brother Giuliano lie in simple tombs beneath the sculptor 's Madonna and Child , flanked by lesser artists ' statues of the family patron saints Cosmas and Damian .","Lorenzo le magnifique et le frère Giuliano se trouvent dans des tombes simples sous la Madone et l' enfant du sculpteur , flanqué de petits artistes "" statues des saints patrons de famille cosmas et Damian .","Лоренцо великолепный и брат джулиано лежит в простых могилах под в мадонны и ребенка , в окружении меньшей статуй меньшей и дэмиан .",Lorenzo and Giuliano were related to one another .,Lorenzo et Giuliano étaient liés l' un à l' autre .,Лоренцо и джулиано были связаны друг с другом .,0
They watched me constantly for weeks .,Ils m' ont regardé constamment pendant des semaines .,Они постоянно следили за мной неделями .,They left me on my own for weeks .,Ils m' ont laissé seul pendant des semaines .,Они оставили меня одну несколько недель .,2
"It has a staff of about 100 employees , including attorneys and support staff , in 10 branch offices .","Il dispose d' un personnel d' environ 100 100 employés , y compris des avocats et du personnel d' appui , dans 10 bureaux .","В его состав входят 100 сотрудников , включая адвокатов и вспомогательный персонал , в 10 отделениях .",The 10 branches had close to 100 employees .,Les 10 succursales avaient près de 100 employés .,В 10 отделениях было около 100 сотрудников .,0
First we applied three alternative concentrationresponse ( C-R ) functions to estimate premature mortality incidence .,"Premièrement , nous avons appliqué trois fonctions alternatives ( c-R ) pour estimer l' incidence prématurée de la mortalité .","Во-первых , мы обратились с тремя альтернативными функциями concentrationresponse ( с-R ) для оценки преждевременной смертности .",No CR functions were applied to the incidence .,Aucune fonction cr n' a été appliquée à l' incidence .,Не было применено никаких функций cr .,2
All we 've done is checked that the first two creditors divided their collective share of $ 125 appropriately,"Tout ce que nous avons fait , c' est vérifier que les deux premiers créanciers ont divisé leur part collective de 125 125 $ de manière appropriée .","Все , что мы сделали , это проверили , что первые два кредитора разделили свою коллективную долю в $ 125 соответственно .",The first two creditors divided their shares correctly .,Les deux premiers créanciers ont divisé leurs actions correctement .,Первые два кредитора разделили свои акции правильно .,0
"However , little evidence remains of that era some ceramics in the museum , a few fortifications , a network of irrigation ditches .","Cependant , il reste peu de preuves de cette époque , quelques céramiques au musée , quelques fortifications , un réseau de fossés d' irrigation .","Тем не менее , мало доказательств того , что эта эра немного керамики в музее , несколько укреплений , сеть ирригационных траншей .",There is little evidence left of that era .,Il reste peu de preuves de cette époque .,В этой эпохе осталось мало доказательств .,0
", chief knowledge officers or chief technical officers ) that diffuse responsibility across several senior-level managers .",", des responsables de la connaissance ou des directeurs techniques ) qui diffusent la responsabilité auprès de plusieurs cadres supérieurs .",", главные сотрудники по вопросам знаний или главные технические сотрудники ) , которые диффузных ответственность на нескольких руководителей старшего звена .",Chief officers often spread their responsibility among senior-level managers .,Les chefs d' état-Major propagation souvent leurs responsabilités parmi les cadres supérieurs .,Старшие должностные лица часто распространяют свою ответственность среди руководителей старшего звена .,0
oh no well i don 't find a lot of time to watch TV and a lot of the time i find it during the day when i 'm rocking my little girl to sleep so i watch a lot of reruns old shows,Oh non bien je ne trouve pas beaucoup de temps pour regarder la télé et beaucoup du temps je le trouve pendant la journée quand je berce ma petite fille pour dormir donc je regarde beaucoup de rediffusions vieux spectacles,"О нет ну я не нахожу много времени смотреть телевизор и много времени я нахожу его в течение дня , когда я качаться свою маленькую девочку спать так что я смотрю много повторов старых шоу",I enjoy watching the old reruns because I find them calming .,J' aime regarder les vieilles rediffusions parce que je les trouve calmes .,"Мне нравится смотреть старые повторы , потому что я нахожу их успокаивает .",1
so that will definitely help in taxes and what you will get back,Donc ça va certainement aider dans les impôts et ce que vous allez récupérer,Так что это точно поможет в налогах и что вы получите обратно,You 'll probably get a lot bigger refund .,Vous aurez probablement beaucoup plus de remboursement .,"Ты , вероятно , получишь намного больше денег .",1
The smart Annie was not in evidence .,La intelligente Annie N' était pas dans la preuve .,Умная энни не была в уликах .,The clever Annie was not in proof .,La intelligente Annie N' était pas en preuve .,Умная энни не была в доказательство .,0
"Yes , Mistuh Reese , suh ?","Oui , Mistuh Reese , suh ?","Да , mistuh риз , со ?",THe slave spoke to Mr Reece .,L' esclave a parlé à m. Reece .,Раб говорил с мистером рис .,1
"At the heart of the sanctuary , a small granite shrine once held the sacred barque of Horus himself .","Au cœur du sanctuaire , un petit sanctuaire de granit a autrefois tenu la barque sacrée d' Horus lui-même .","В самом сердце святилища , маленький гранит храм однажды держал священную барка самого гор .",Horus has a shrine .,Horus a un sanctuaire .,У гор есть храм .,0
Postal Service 's domestic rates for First-Class and Priority Mail to the inbound mail distribution described above .,Les tarifs intérieurs du service postal pour le courrier de première classe et prioritaire à la distribution du courrier entrant décrite ci-dessus .,"Внутренние ставки почтовой службы для первого класса и приоритетной почты до входящего почтового распределения , о котором говорится выше .",Usps domestic rates for priority and first class mail ate described above .,Les tarifs intérieurs de l' usps pour la priorité et le courrier de première classe sont décrits ci-dessus .,"Usps внутренние ставки для приоритетного и первого класса почты , о которых говорится выше .",0
do you like um any rock and roll at all,Est-ce que tu aimes um n' importe quel rock and roll du tout,Тебе нравится любой рок-н-ролл ?,So you don 't like rock and roll ?,Tu n' aimes pas le rock ' n' roll ?,Так ты не любишь рок-н-ролл ?,2
"Dining room , grill , pub .","Salle à manger , grill , pub .","Столовая , гриль , паб .",It has a dining room but no grill .,Il y a une salle à manger mais pas de grill .,"У него есть столовая , но без гриль .",2
"What have you , my friend , he cried , "" that you remain there like , how do you say it ? , ah , yes , the stuck pig ? "" I explained that I was afraid of obliterating any foot-marks .","Qu' as-tu , mon ami , il a pleuré , "" que tu restes là comme , comment le dis-tu ? , ah , oui , le cochon coincé ? "" J' ai expliqué que j' avais peur d' effacer toutes les marques de pieds .","Что ты , мой друг , сказал : "" что ты остался там , как ты это говоришь ? , ах , да , в свинья ? "" я объяснил , что боюсь уничтожить любые следы ног .",I didn 't say anything when he asked me that question .,Je n' ai rien dit quand il m' a posé cette question .,"Я ничего не говорил , когда он задал мне этот вопрос .",2
"But such a show would have meant the museum taking a hard look at its own , often controversial part in the art world .","Mais un tel spectacle aurait signifié que le musée se prendre sur sa propre partie , souvent controversée dans le monde de l' art.","Но такое шоу означало бы , что музей серьезно взглянуть на свою собственную , часто спорных часть в мире искусства .",The museum didn 't want to look too closely into its part in the art world .,Le Musée ne voulait pas regarder de trop près son rôle dans le monde de l' art.,Музей не хотел слишком пристально смотреть на свою роль в мире искусства .,1
"But you will find fishermen , many of whom are direct descendants of some 600 Genoese mercenaries King Charles III rescued from captivity on Tunisia 's Tabarka Island , hence the name .","Mais vous trouverez des pêcheurs , dont beaucoup sont des descendants directs de quelque 600 mercenaires génois , le roi Charles III sauvé de la captivité sur l' île Tabarka de Tunisie , d' où le nom .","Но вы найдете рыбаков , многие из которых являются прямыми потомками около 600 генуэзская наемников короля Карла III , спасенных из плена на острове Tabarka , отсюда и название .",Tabarka Island is part of Turkey .,L' Île de Tabarka fait partie de la Turquie .,Остров Tabarka является частью Турции .,2
"And while we allow people to give a kidney to their child , we do not allow them to donate their heart .","Et pendant que nous permettons aux gens de donner un rein à leur enfant , nous ne leur permettons pas de donner leur cœur .","И пока мы позволим людям отдать почку своему ребенку , мы не позволим им пожертвовать свое сердце .",You can 't always donate organs to your child .,Tu ne peux pas toujours donner des organes à ton enfant .,Ты не можешь всегда жертвовать органы своему ребенку .,1
"Unbar , Francisco ! he called in Spanish .","Unbar , Francisco ! Il a appelé en espagnol .","Unbar , Франциско ! Он звонил по-испански .",He call Francisco in Spanish .,Il appelle Francisco en espagnol .,Он позвонил Франциско по-испански .,0
"The Commission is unwilling to recommend an interpretation of the statute that produces such consequences , absent an express congressional intent that such burdens be imposed .","La Commission N' est pas disposée à recommander une interprétation du statut qui produit de telles conséquences , sans l' intention expresse du congrès que ces charges soient imposées .","Комиссия не желает рекомендовать толкование статута , которое приводит к таким последствиям , в отсутствие прямого намерения конгресса о том , чтобы такое бремя было введено .","Unless congress expresses an intent that such burdens be imposed , the Commission is unwilling to recommend an interpretation of the statute that produces such consequences .","À moins que le congrès n' exprime l' intention d' imposer un tel fardeau , la commission n' est pas disposée à recommander une interprétation du statut qui produit de telles conséquences .","Если конгресс не заявляет о том , что такое бремя будет введено , комиссия не желает рекомендовать толкование статута , которое порождает такие последствия .",0
